Label,CCR4,CD11b,CD11c,CD14,CD15,CD16,CD163,CD19,CD20,CD27,CD3,CD31,CD4,CD45RA,CD45RO,CD56,CD68,CD7,CD8a,CD90,CXCR5,FOXP3,GranzymeB,HLADR,ICOS,IDO,Ki67,LAG3,OX40,PD1,SMA,SPARC,TCRgd,TIGIT,TIM3,Tbet,VISTA,Vimentin,clcaspase
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120522618293762,2.502471581101417,1.0631655752658844,0.0,0.0,0.0,1.3006599992513657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4833586886525154,0.0,0.0,0.1410291492938995,0.0,0.0,0.0,0.0,0.0,0.0,0.866370290517807,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1983795315027237,0.0,0.0,0.2537313401699066,1.195384293794632,0.7380639910697937,1.5443203300237656,1.872992306947708,0.0,3.2490444630384445,0.0,0.0,0.0,0.0,0.0,1.652512609958649,0.0,0.0,0.0,0.0,3.508960746228695,0.0,0.0,0.0,0.0,0.8780615925788879,0.0,3.053295731544494,0.0,1.0612142086029053,0.0,0.0,0.0,2.5094881653785706,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9756746292114256,1.634310632944107,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305020809173584,0.0,0.0,2.613396622240544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664484515786171,0.7130192816257477,0.0,0.0,0.0,0.0,0.2874588668346405,0.0,0.0,0.0,0.0,0.0,0.0,0.8235908448696136,0.0,0.0,0.4317284077405929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4145893901586533,2.018011152744293,0.0,0.2681283950805664,0.0,1.4698579013347626,0.0,0.0,2.707220017910004,0.0,0.0,0.0,0.0,0.0,0.3540919721126556,0.0,0.0,0.0,0.0,0.0,0.0,1.0526708960533142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.094242386519909,0.0,0.0,0.0,7.017945155501366,1.7065287977457049,1.743572473526001,0.0,0.0,0.0,4.205194339156151,0.0,0.0,0.0,0.0,0.8468583822250366,0.0,4.470250800251961,0.0,0.0,3.63486497104168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752903997898102,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,4.60946449637413,2.301133468747139,0.0,0.0,0.4253731369972229,4.220449164509773,0.6603056117892265,0.2563491836190223,0.0,0.0,0.0,1.1481170803308487,0.0,0.0,3.0470913350582123,0.0,0.0,0.0,0.4099197685718536,0.0,0.0,2.8758232966065407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892435133457184,0.0,1.1855203211307526,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,13.278965324163435,5.550884261727333,0.0,0.0,0.993525207042694,9.07055877149105,6.63073818385601,4.705594688653946,2.920245766639709,0.0,2.5853940844535828,4.506017342209816,4.125791758298874,0.0,2.546266764402389,4.928155809640884,11.92818522453308,0.0,2.334360361099243,0.0,1.2898330092430117,6.958441197872162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866021811962128,0.0
9,0.0,0.0,0.6462001204490662,1.1154484748840332,0.0,0.0,0.0,5.912582814693451,3.932852618396282,3.879763387143612,2.1730680614709854,0.0,0.396467387676239,3.680006518959999,5.007333904504776,0.0,0.0,2.3807994574308395,9.671271830797195,0.6256738901138306,0.8253174275159836,0.0,0.0,7.271912783384323,0.0,0.0,0.0,0.0,0.9468000531196594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076927900314331,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,2.868635356426239,5.310445949435234,5.766875214874744,2.911202684044838,0.0,0.0,0.0,6.654572173953056,0.0,0.0,0.0,0.0,0.5140032172203064,0.0,0.6378779411315918,0.0,0.0,2.643676094710827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6501225829124451,0.0
