Label,CCR4,CD11b,CD11c,CD14,CD15,CD16,CD163,CD19,CD20,CD27,CD3,CD31,CD4,CD45RA,CD45RO,CD56,CD68,CD7,CD8a,CD90,CXCR5,FOXP3,GranzymeB,HLADR,ICOS,IDO,Ki67,LAG3,OX40,PD1,SMA,SPARC,TCRgd,TIGIT,TIM3,Tbet,VISTA,Vimentin,clcaspase
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7790323129569718,0.034959013689539006,0.0,0.0,0.0,0.5082904212497197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061898790476492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096368687490604,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.22200075435836827,0.0,0.0,0.0,0.0,0.15486575086551221,0.12408650565240731,0.6842121874501063,0.0,0.5111980746649432,0.0,0.0,0.0,0.0,0.0,0.8745724673827364,0.0,0.0,0.0,0.0,0.07325001989616266,0.0,0.0,0.0,0.0,0.735725695199197,0.0,0.5661165868859286,0.0,0.7561746065911913,0.0,0.0,0.0,0.020313699840725074,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05091618500115597,0.22369702915275097,0.0,0.0,0.0,0.0,0.7967980227761066,0.0,0.0,0.0,0.0,0.0,0.0,0.026152923158428622,0.0,0.0,0.05429215738564787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06955456619243257,0.7678390507104119,0.0,0.0,0.0,0.0,0.5340909184120458,0.0,0.0,0.0,0.0,0.0,0.0,0.16093193665671848,0.0,0.0,0.05348028117515565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029622824664108822,0.7542152498021354,0.0,0.014788048932627487,0.0,0.42062026797155777,0.0,0.0,0.7331149618150146,0.0,0.0,0.0,0.0,0.0,0.025971036001589,0.0,0.0,0.0,0.0,0.0,0.0,0.020553608859733563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.4440189372529175,0.0,0.0,0.0,0.4512996425205446,0.9801338108937966,0.046205837644989825,0.0,0.0,0.0,0.41939048796908507,0.0,0.0,0.0,0.0,0.1887291539330645,0.0,0.6082486451111723,0.0,0.0,0.2511552583274893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651995619867667,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.101202200617369,0.10236534897293592,0.0,0.0,0.04029905041909795,0.009875233242658368,0.03217527195731661,0.0,0.0,0.0,0.0,0.19165364810830962,0.0,0.0,0.905258480018762,0.0,0.0,0.0,0.0,0.0,0.0,0.06313325180120934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02359696044168277,0.0,0.059273128241385066,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.7685523891723018,0.4102874301698997,0.0,0.0,0.08003801205703437,0.04993623318548525,0.3877450356354783,0.019493175838761527,0.006687367590097396,0.0,0.005061476459962573,0.13824028647713957,0.08224305381272866,0.0,0.16168942428004393,0.32886569057384496,0.847434978443288,0.0,0.01799600496224272,0.0,0.03943424880352218,0.08058635525759793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18213617425856715,0.0
9,0.0,0.0,0.0,0.033840768237537275,0.0,0.0,0.0,0.04755663651181972,0.06699634238717155,0.02505710247474442,0.16079156480260318,0.0,0.006815128035954109,0.2065683003645141,0.39406219560741723,0.0,0.0,0.0,0.9648557713888299,0.007114057718130529,0.0038145398003930978,0.0,0.0,0.05906336905929122,0.0,0.0,0.0,0.0,0.029301010242537215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312259775524995,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2691114837572492,0.025635037698141724,0.8905598215467894,0.021451376970836034,0.0,0.0,0.0,0.6206661170754447,0.0,0.0,0.0,0.0,0.0,0.0,0.012949086700524418,0.0,0.0,0.02950968699587566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913792741170394,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030911266680161805,0.1791501929180514,0.009276278088638472,0.7897013633545644,0.0,0.032330953937106166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08995542648836934,0.0,0.0,0.07632037645409535,0.0,0.0,0.0,0.0,0.0,0.0,0.6967854364573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5302214682797579,0.4418017937113533,0.08861153515691003,0.0,0.0,0.0,0.7463052065855056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15434942560922166,0.0,0.10368083541330654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016176202831006643,0.0,0.0,0.11812555952686433,0.7302181579900853,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.023486817956933963,0.20762069870972058,0.8188712353863462,0.3711188303552977,0.0,0.0,0.05244327177435425,0.23284199535275246,0.0,0.0,0.0,0.0,0.0,0.12201698858201226,0.12235154711150358,0.0,0.0,0.25295662240779027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036019315965102196,0.0,0.0,0.09349753887385102,0.0,0.0
14,0.0,0.05395855271148029,0.39531145114339783,0.19162731059889085,0.0,0.0,0.0,0.0,0.0,0.04617925718456499,0.0,0.024355801258441667,0.04653492957374232,0.0,0.5707260142450784,0.0,0.052684149382974145,0.0,0.9465352716235251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.028435458230751488,0.0,0.0,0.36456431290547464,0.0,0.011749099278220185,0.0013546451623880874,0.0,0.8427160570039001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006630344275459365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022329749448967958,0.0,0.0,0.0,0.0,0.024112991424683955,0.013911311301092329,0.0
16,0.0,0.06708152208301119,0.6977438729601526,0.2170749878605093,0.0,0.0,0.5295169879293727,0.28283657112132843,0.3746307485102697,0.023555027262015946,0.0,0.0,0.040084338350380964,0.2030345076604569,0.0,0.0,0.6933746237397098,0.0,0.7371097301969455,0.014351754719164278,0.20002320421138314,0.0,0.0,0.016053598551141073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02314056680780279,0.40555206937615784,0.019811633186888986,0.0,0.0,0.040043548384743895,0.29162887333128945,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14148301902991886,0.8374661410395057,0.01398803278946691,0.0,0.0,0.0,0.4770075256572955,0.0,0.0,0.0,0.0,0.07153642127789361,0.012672693519998553,0.04398854599111208,0.0,0.0,0.03204047382141328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.159132676987812,0.10860607157762474,0.0,0.0,0.0,0.1301794052733085,0.9530472364775092,0.04888654790893642,0.0,0.0,0.0,0.17942007546859995,0.0,0.0,0.0,0.0,0.048001068609732536,0.0,0.049747673934956986,0.1978386381974772,0.0,0.12470805866977862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03719220314938037,0.0,0.03866916604105856,0.476230168724964,0.0
19,0.0,0.0,0.0,0.10428299364935904,0.0,0.0,0.0,0.07902993485955713,0.6261519952591089,0.01968014472773714,0.07841210421300646,0.0,0.08975574962959086,0.5918945483417849,0.0,0.0,0.0,0.8327395799040777,0.0,0.0,0.007527378785943646,0.0,0.0,0.0473677826458269,0.0,0.0,0.0,0.0,0.07923408783535021,0.0,0.014589455227216391,0.0,0.07156266026642223,0.08617203480956309,0.01655631375211913,0.0,0.12723696582473612,0.0,0.0
20,0.0,0.0,0.033208379107695335,0.10969557024752502,0.0,0.0,0.11824457833477765,0.13288038430981383,0.8643310246661375,0.030992479841929658,0.0,0.31820746322435867,0.0030191105229983436,0.506280060785159,0.0,0.0,0.0,0.0,0.0,0.0,0.007626861179206543,0.0,0.0019287559640992038,0.07366530063231466,0.0,0.0,0.0,0.0,0.0,0.0,0.011138350219685443,0.0,0.0,0.0,0.0,0.0,0.0,0.7138807129352261,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10497134327611819,0.5966847178695631,0.048357741130128216,0.0,0.0,0.0,0.7310505253212045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17475193699292263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.7797774940202183,0.35287738087405396,0.0,0.0,0.0,0.11013774211133415,0.5245834417365579,0.017026124249283542,0.0,0.0,0.0,0.5486128300214517,0.0,0.0,0.0,0.0,0.05766819156204665,0.0,0.024805736048391695,0.0,0.0,0.12853994026784515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548703290049527,0.0
23,0.0,0.0,0.0,0.0,0.0,0.5447463931339942,0.3936034685393931,0.16660398570715465,0.9291994909476518,0.006385346825355247,0.0,0.049431653992678876,0.052873049271963214,0.6475426282990259,0.3693525099627321,0.0,0.0,0.312644708447925,0.09590370950081398,0.0,0.15631718223714958,0.0,0.0,0.49414270598645876,0.0,0.0,0.0,0.0,0.0,0.10054884959503127,0.0,0.0,0.0,0.15934415189616258,0.0,0.0,0.029506672366519337,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.49991421001897746,0.25240794686177853,0.8001033798630842,0.21142389380825433,0.0,0.0,0.0,0.6484809390206553,0.0,0.0,0.0,0.0,0.0,0.0,0.08591274699340545,0.0,0.0,0.1605371297344119,0.0,0.0,0.0,0.0,0.11270424240446035,0.0,0.022147769252355502,0.0,0.0,0.016217866602196634,0.0,0.0,0.0,0.0,0.0
25,0.6831608237118021,0.0,0.9180034249118986,0.06821741484617093,0.0,0.0,0.4618371782062451,0.07787557865103628,0.6401750395544576,0.08200072122835529,0.0,0.0,0.0,0.4485131045922517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17477227936917325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.1153712276814517,0.0,0.0,0.8802519245644637,0.0977051647756008,0.7354541147983885,0.4390314324632245,0.0,0.0,0.11462189679668476,0.375484560752389,0.0,0.0,0.0,0.0,0.3838134318708116,0.0,0.0,0.0,0.0,0.178913707269566,0.0,0.16321806670606986,0.0,0.0,0.0,0.0,0.0,0.0,0.994912095835039,0.0,0.0,0.0,0.2814418026359349,0.0,0.0
27,0.0,0.0,0.0,0.6547341438710776,0.0,0.0,0.0,0.059984961141881316,0.7502632367824456,0.09941704518036588,0.0,0.0,0.0,0.6648408216862616,0.0,0.0,0.0,0.0,0.5952770813147104,0.0,0.0,0.0,0.0,0.2380861994948041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209706636655347,0.8012380150714323,0.0,0.0,0.10599756583181053,0.0,0.0
28,0.0,0.06914357763514212,0.0,0.026306928673931283,0.0,0.0,0.0,0.12970604002355549,0.81562116156299,0.001679550247055985,0.0,0.0,0.0,0.7238073382378779,0.0,0.0,0.0,0.0,0.39149737043292643,0.013502129182670627,0.05101448100284475,0.0,0.021110520763582174,0.1755664235542349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01846022369138798,0.0,0.0,0.0030769465268043928,0.07458352385096756,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.3215784315388319,0.17941790716781084,0.7917785877526908,0.09352938098575506,0.0,0.0,0.0,0.697200401682275,0.0,0.0,0.0,0.0,0.0,0.052037346073024814,0.08740001048764329,0.0,0.0,0.18541613571889476,0.0,0.0,0.0,0.0,0.0,0.0,0.05464580216342467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.4159481717926935,0.01648813940232782,0.0,0.0,0.0,0.12944167848174828,0.704811268556321,0.04734287174858813,0.0,0.0076162390560411885,0.0,0.8140305188131216,0.0,0.0,0.0,0.0,0.032775562799739304,0.0,0.059129026637122925,0.0,0.0,0.15178697445714232,0.0,0.0,0.0,0.0,0.0,0.0,0.05487748851531343,0.0,0.0,0.0,0.0,0.0,0.03391431743357354,0.052382447966699885,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064174474293421,0.0,0.0295933809269355,0.0,0.24130681112019814,0.0,0.0,0.0,0.0,0.0,0.07485440737631599,0.0,0.0,0.04074812046832819,0.0,0.0,0.0,0.0,0.0,0.0,0.6113806468355464,0.0,0.0,0.01892346798056879,0.0,0.0,0.15918813840992163,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045936665967239124,0.2622052544930914,0.0010420389956493756,0.0,0.0,0.0,0.8249237239201573,0.0,0.0,0.0,0.0,0.027710773472853792,0.0,0.04218989249932175,0.0,0.0,0.0287385883385144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08179513647149328,0.0,0.0,0.009505178009131414,0.0,0.0
